14-11-16 上午12:29
文件1：announce_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
85%-94%： 	  1	   3	     28	     30	
75%-84%： 	  3	   6	    145	    145	
50%-74%： 	 19	 141	    792	    915	
无匹配：     	122	1274	   8141	   9266	
总共：      	254	1748	  11551	  12990	

文件55：signing_plugin.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  2	   4	     72	     73	
与其他文件重复： 	 18	  50	    386	    421	
精确匹配：    	 28	  47	    663	    674	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  3	  11	    118	    126	
75%-84%： 	  5	  27	    197	    216	
50%-74%： 	 17	 148	   1067	   1181	
无匹配：     	 60	 741	   4705	   5377	
总共：      	133	1028	   7208	   8068	

文件56：sonar_plugin.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 12	  39	    328	    343	
与其他文件重复： 	 23	  59	    425	    467	
精确匹配：    	 40	  44	    501	    512	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  1	   4	     36	     39	
75%-84%： 	  1	   2	     53	     53	
50%-74%： 	 26	 195	   1288	   1415	
无匹配：     	106	 915	   6394	   7197	
总共：      	209	1258	   9025	  10026	

文件57：sonar_runner_plugin.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 18	  44	    594	    621	
与其他文件重复： 	 38	 160	   1150	   1253	
精确匹配：    	 37	  45	    533	    544	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  0	   0	      0	      0	
75%-84%： 	  0	   0	      0	      0	
50%-74%： 	 18	 124	    768	    868	
无匹配：     	113	1164	   7741	   8786	
总共：      	224	1537	  10786	  12072	

文件58：standard_plugins.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 35	  89	    669	    723	
与其他文件重复： 	144	 156	   1793	   1836	
精确匹配：    	 31	  49	    697	    708	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  0	   0	      0	      0	
75%-84%： 	  0	   0	      0	      0	
50%-74%： 	 15	 123	    692	    800	
无匹配：     	114	 764	   5082	   5722	
总共：      	339	1181	   8933	   9789	

文件59：troubleshooting.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 0	  0	      0	      0	
与其他文件重复： 	 4	 13	     93	    102	
精确匹配：    	25	 56	    559	    586	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 1	  8	     38	     45	
75%-84%： 	 0	  0	      0	      0	
50%-74%： 	 3	 23	    112	    132	
无匹配：     	14	213	   1100	   1297	
总共：      	47	313	   1902	   2162	

文件60：tutorial_gradle_command_line.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
